accession	superkingdom	phylum	class	order	family	genus	species
FOYF01000003.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. cl95
CP042243.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Crassaminicella	Crassaminicella thermophila
OAOP01000007.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus oleivorans
SOEG01000007.1		Bacillota	Clostridia	Halanaerobiales	Halobacteroidaceae	Orenia	Orenia marismortui
JAGHKQ010000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 165
LOED01000010.1		Bacillota	Clostridia	Thermosediminibacterales	Thermosediminibacteraceae	Fervidicola	Fervidicola ferrireducens
WJEE01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus thailandensis
FOGL01000012.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus ureilyticus
VDGG01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Psychrobacillus	Psychrobacillus soli
MLYR01000084.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. MUM 116
BMEY01000009.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus	Ornithinibacillus halotolerans
SLXK01000053.1		Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Scopulibacillus	Scopulibacillus darangshiensis
LR700942.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus sp. AE2B 122
BMEL01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus andaensis
AP017312.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus soli
CP007739.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus methanolicus
JRNX01000191.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus sp. BBL2006
ASQA01000013.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Viridibacillus	Viridibacillus arenosi
LWDV01000009.1		Bacillota	Clostridia	Halanaerobiales	Halobacteroidaceae	Orenia	Orenia metallireducens
FMZA01000004.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Melghirimyces	Melghirimyces thermohalophilus
JAMQJZ010000010.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Aquibacillus	Aquibacillus koreensis
AJLR01000045.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Schinkia	Schinkia azotoformans
FNQR01000003.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Thalassobacillus	Thalassobacillus cyri
QPJJ01000026.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Saliterribacillus	Saliterribacillus persicus
RWIV01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. HMF5848
QGTD01000019.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus dipsosauri
CP019698.1		Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Desulforamulus	Desulforamulus ferrireducens
OAOP01000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus oleivorans
JRUN01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia ginsengihumi
BMIR01000001.1		Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Pullulanibacillus	Pullulanibacillus camelliae
FQVW01000032.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus	Ornithinibacillus halophilus
KI629782.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus panacihumi
FXTU01000002.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Laceyella	Laceyella tengchongensis
SLXK01000030.1		Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Scopulibacillus	Scopulibacillus darangshiensis
CP013659.2		Bacillota	Bacilli	Bacillales	Caryophanaceae	Planococcus	Planococcus rifietoensis
JABAIT010000005.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. DNRA2
JABTTE010000024.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Calidifontibacillus	Calidifontibacillus erzurumensis
VOHD01000003.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Planomicrobium	Planomicrobium sp. CPCC 101110
JXLL01000006.1		Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Caloranaerobacter	Caloranaerobacter sp. TR13
CCRF01000092.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus thermoamylovorans
LJJC01000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia shackletonii
LS483476.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lederbergia	Lederbergia lenta
AZRV01000013.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus debilis
BJXX01000047.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus danicus
BDGM02000031.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Tepidibacillus	Tepidibacillus sp. HK-1
FOOK01000002.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Planifilum	Planifilum fulgidum
LSKU01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Tepidibacillus	Tepidibacillus decaturensis
NKXN01000030.1		Bacillota	Bacilli	Bacillales	Bacillaceae		Bacillaceae bacterium SAS-127
CP001983.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia megaterium
FOHE01000009.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus limi
JAAIWN010000027.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus aquiflavi
LDPH01000019.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Niallia	Niallia circulans
LITT01000035.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium ljungdahlii
QBKR01000012.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Melghirimyces	Melghirimyces profundicolus
FZOJ01000022.1		Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Anaerovirgula	Anaerovirgula multivorans
JPVO01000053.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus sinduriensis
SMAB01000021.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Tepidibacillus	Tepidibacillus fermentans
FNFP01000001.1		Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Natronincola	Natronincola ferrireducens
FQXH01000010.1		Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Tepidibacter	Tepidibacter thalassicus
BJYL01000017.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Sporosarcina	Sporosarcina luteola
CP008876.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus aidingensis
JPVN01000009.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus manganicus
SMAG01000002.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Hazenella	Hazenella coriacea
ASQA01000008.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Viridibacillus	Viridibacillus arenosi
JACDUT010000003.1		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Thermaerobacillus	Thermaerobacillus caldiproteolyticus
JACHGH010000012.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Salirhabdus	Salirhabdus euzebyi
SOEG01000004.1		Bacillota	Clostridia	Halanaerobiales	Halobacteroidaceae	Orenia	Orenia marismortui
LELK01000004.1							
LAYY01000014.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus campisalis
LSVF01000004.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomyces	Thermoactinomyces sp. AS95
JPMD01000017.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sulfidigenes
PVXP01000020.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium luticellarii
LDJR01000041.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lederbergia	Lederbergia galactosidilytica
RXNR01000035.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus telephonicus
SOAZ01000009.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Fonticella	Fonticella tunisiensis
AVBF01000028.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus yanchengensis
JACHGK010000005.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus benzoevorans
SRJC01000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus salinus
JAPRAT010000030.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Natronobacillus	Natronobacillus azotifigens
ANPF01000023.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus sp. BAB-2008
CP019640.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Planococcus	Planococcus lenghuensis
FOGL01000006.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus ureilyticus
RHHQ01000015.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus fluminis
APBN01000002.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus borstelensis
CP006643.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus infantis
NTTM01000013.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. AFS018417
CP024848.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus zhaokaii
JAMQJZ010000015.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Aquibacillus	Aquibacillus koreensis
CP030028.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. Y1
JAGYPL010000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. FJAT-49711
NPDD01000128.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 7884-1
CP068053.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Peribacillus	Peribacillus psychrosaccharolyticus
JAGYPD010000007.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. FJAT-50079
JAALGD010000001.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. SYP-B805
WJEE01000021.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus thailandensis
RHLQ01000008.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus halotolerans
CP018866.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Sutcliffiella	Sutcliffiella cohnii
PGLV01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus sphaericus
QWEH01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus profundus
FOCQ01000022.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Lihuaxuella	Lihuaxuella thermophila
LFZW01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Peribacillus	Peribacillus loiseleuriae
LKET01000014.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Oxobacter	Oxobacter pfennigii
JAGIYQ010000004.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gottfriedia	Gottfriedia endophytica
JAGYPL010000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. FJAT-49711
CP043404.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis
JACDUU010000003.1		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Paranoxybacillus	[Anoxybacillus] calidus
JACEIQ010000001.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Paenactinomyces	Paenactinomyces guangxiensis
BJBU01000012.1		Thermodesulfobacteriota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter	Geobacter sp. SVR
BMOS01000019.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus indicireducens
JAGKSQ010000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halalkalibacter	Halalkalibacter suaedae
VNIB01000006.1		Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Geothermobacteraceae	Geothermobacter	Geothermobacter ehrlichii
BMJT01000006.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus alkalisoli
JAAIUV010000013.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	Neobacillus thermocopriae
PDOD01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Salipaludibacillus	Salipaludibacillus keqinensis
NUDY01000018.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides
BORC01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Robertmurraya	Robertmurraya siralis
SMAN01000015.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Melghiribacillus	Melghiribacillus thermohalophilus
BORP01000008.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus	Ornithinibacillus bavariensis
JAGYPN010000005.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lederbergia	Lederbergia citrea
RZTZ01000014.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Niallia	Niallia taxi
BKZQ01000047.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Weizmannia acidilactici
CP014140.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus sp. XH2
PDOF01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Alteribacter	Alteribacter lacisalsi
FORR01000001.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoflavimicrobium	Thermoflavimicrobium dichotomicum
JAAIUV010000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	Neobacillus thermocopriae
CP109943.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. WF146
LDPH01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Niallia	Niallia circulans
WUUL01000002.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Shimazuella	Shimazuella alba
LIXZ01000028.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Rossellomorea	Rossellomorea vietnamensis
LN824141.1		Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Defluviitoga	Defluviitoga tunisiensis
BKZQ01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Weizmannia acidilactici
FQWY01000029.1		Bacillota	Clostridia	Eubacteriales	Syntrophomonadaceae	Thermosyntropha	Thermosyntropha lipolytica
MCIB01000034.1		Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Thermohalobacter	Thermohalobacter berrensis
CP000141.1		Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus	Carboxydothermus hydrogenoformans
LOED01000008.1		Bacillota	Clostridia	Thermosediminibacterales	Thermosediminibacteraceae	Fervidicola	Fervidicola ferrireducens
LQYN01000073.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia sporothermodurans
CP013217.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Kurthia	Kurthia sp. 11kri321
JWIR02000031.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thermotolerans
JAPRAT010000018.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Natronobacillus	Natronobacillus azotifigens
SSNT01000012.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Metabacillus	Metabacillus sediminilitoris
FOHU01000002.1		Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Natronincola	Natronincola peptidivorans
CP012602.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. FJAT-18017
JXIQ01000019.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus subterraneus
CCAX010000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus picturae
JPVP01000060.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus odysseyi
VIGD01000029.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus terrenus
AWTC01000005.1		Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus	Sporolactobacillus laevolacticus
CP000698.1		Thermodesulfobacteriota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geotalea	Geotalea uraniireducens
BORE01000007.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. J14TS2
CP007806.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
BMEV01000045.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Compostibacillus	Compostibacillus humi
LFZU01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. FJAT-27231
LZFO01000016.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium acetireducens
BMEV01000021.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Compostibacillus	Compostibacillus humi
CCDI010000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus karajensis
FORT01000004.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus centrosporus
QCZG01000009.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Pueribacillus	Pueribacillus theae
AE016877.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
BORO01000012.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus sp. J11TS1
CP015438.1		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Anoxybacteroides	Anoxybacteroides amylolyticum
BDGM02000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Tepidibacillus	Tepidibacillus sp. HK-1
JACOOL010000013.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus	Ornithinibacillus hominis
VOHD01000008.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Planomicrobium	Planomicrobium sp. CPCC 101110
WJNG01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Aquibacillus	Aquibacillus halophilus
JACDUU010000008.1		Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Paranoxybacillus	[Anoxybacillus] calidus
BLWF01000003.1		Bacillota	Clostridia	Neomoorellales	Neomoorellaceae	Thermanaeromonas	Thermanaeromonas sp. C210
LGTO01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus pantothenticus
AMPQ01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Salimicrobium	Salimicrobium jeotgali
FOCQ01000005.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Lihuaxuella	Lihuaxuella thermophila
JAFBEB010000004.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus fulvus
QGTD01000020.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus dipsosauri
CP000002.3		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
CP046457.1		Bacillota	Clostridia	Eubacteriales	Syntrophomonadaceae	Candidatus Syntrophocurvum	Candidatus Syntrophocurvum alkaliphilum
JPVQ01000021.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus massiliensis
BMFR01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus oceani
LSVF01000001.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomyces	Thermoactinomyces sp. AS95
AJLR01000124.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Schinkia	Schinkia azotoformans
MIJF01000024.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Vulcanibacillus	Vulcanibacillus modesticaldus
MLYR01000039.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. MUM 116
NOWF01000003.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Paludifilum	Paludifilum halophilum
AL009126.3		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
CP025746.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium manihotivorum
BDGM02000006.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Tepidibacillus	Tepidibacillus sp. HK-1
RBZN01000047.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus endophyticus
SLXK01000003.1		Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	Scopulibacillus	Scopulibacillus darangshiensis
FODJ01000009.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Amphibacillus	Amphibacillus marinus
BMHQ01000006.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Marinithermofilum	Marinithermofilum abyssi
LDZY01000018.1		Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfosporosinus	Desulfosporosinus acididurans
VOHD01000006.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Planomicrobium	Planomicrobium sp. CPCC 101110
AVPG01000019.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Pontibacillus	Pontibacillus litoralis
BJXW01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Cerasibacillus	Cerasibacillus quisquiliarum
HF952018.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Thermobrachium	Thermobrachium celere
CCRF01000035.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus thermoamylovorans
NOII01000011.1		Bacillota	Bacilli	Bacillales	Fictibacillaceae	Fictibacillus	Fictibacillus aquaticus
FNQR01000015.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Thalassobacillus	Thalassobacillus cyri
WOCA01000016.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus	Ornithinibacillus caprae
JANCLT010000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Ectobacillus	Ectobacillus ponti
WUUL01000016.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Shimazuella	Shimazuella alba
CVRB01000001.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	Neobacillus massiliamazoniensis
CP022315.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus phasianinus
JAFBEB010000001.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus fulvus
LBBT01000137.1		Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Paraclostridium benzoelyticum
AEXQ01000020.1		Bacillota	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter	Turicibacter sp. HGF1
BAVS01000023.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus boraciitolerans
CP071798.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Sporosarcina	Sporosarcina sp. Te-1
FNHN01000005.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. OK048
JADZSC010000002.1							
JAGSOT010000047.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus salarius
LGUG01000004.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus migulanus
NIQC01000003.1		Bacillota	Clostridia	Natranaerobiales	Natranaerobiaceae	Natranaerobius	Natranaerobius trueperi
RRCT01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus composti
SWLG01000001.1		Bacillota	Bacilli	Bacillales	Guptibacillaceae	Exobacillus	Exobacillus caeni
VDGG01000020.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Psychrobacillus	Psychrobacillus soli
WLZW01000004.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Planomicrobium	Planomicrobium sp. YIM 101495
FTOD01000002.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Kroppenstedtia	Kroppenstedtia eburnea
LJIX01000006.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Cytobacillus	Cytobacillus solani
BJYL01000023.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Sporosarcina	Sporosarcina luteola
CP001390.1		Thermodesulfobacteriota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geotalea	Geotalea daltonii
CP022572.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	Neobacillus mesonae
LOEE01000076.1		Bacillota	Clostridia	Peptostreptococcales	Thermotaleaceae	Thermotalea	Thermotalea metallivorans
BLZR01000001.1		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium fungisolvens
CP016761.1		Bacillota	Bacilli	Bacillales	Fictibacillaceae	Fictibacillus	Fictibacillus arsenicus
CP019699.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus	Novibacillus thermophilus
CVRB01000002.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	Neobacillus massiliamazoniensis
FNPI01000023.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Evansella	Evansella caseinilytica
JAMBOL010000003.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Halalkalibacter	Halalkalibacter oceani
AJLR01000147.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Schinkia	Schinkia azotoformans
SMAB01000010.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Tepidibacillus	Tepidibacillus fermentans
AFCE01000152.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Caldalkalibacillus	Caldalkalibacillus thermarum
BBZA01000009.1		Chloroflexota	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Ardenticatena	Ardenticatena maritima
CP045403.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. THAF10
FTOD01000005.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Kroppenstedtia	Kroppenstedtia eburnea
JACEOL010000014.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomyces	Thermoactinomyces mirandus
JTFC01000042.1		Bacillota	Bacilli	Bacillales	Caryophanaceae	Kurthia	Candidatus Kurthia intestinigallinarum
LARY01000002.1		Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria kieliensis
CP032489.1		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Arachidicoccus	Arachidicoccus soli
FUXM01000005.1		Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVI. Incertae Sedis	Carboxydocella	Carboxydocella sporoproducens
KZ845666.1		Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoflavimicrobium	Thermoflavimicrobium daqui
PGUY01000055.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Peribacillus	Peribacillus deserti
QYTU02000049.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Siminovitchia	Siminovitchia fortis
